"Cycle 2:Pt #002:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.250000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
6.719620e+002,2.303550e+004,2.303550e+004,2.303550e+004,,8.147180e+002,1.842840e+004,1.842840e+004,1.842840e+004
6.720620e+002,2.302100e+004,2.302100e+004,2.302100e+004,,8.146180e+002,1.841680e+004,1.841680e+004,1.841680e+004
6.721620e+002,2.305660e+004,2.305660e+004,2.305660e+004,,8.145180e+002,1.844528e+004,1.844528e+004,1.844528e+004
6.722620e+002,2.307210e+004,2.307210e+004,2.307210e+004,,8.144180e+002,1.845768e+004,1.845768e+004,1.845768e+004
6.723620e+002,2.278790e+004,2.278790e+004,2.278790e+004,,8.143180e+002,1.823032e+004,1.823032e+004,1.823032e+004
6.724620e+002,2.290950e+004,2.290950e+004,2.290950e+004,,8.142180e+002,1.832760e+004,1.832760e+004,1.832760e+004
6.725620e+002,2.327460e+004,2.327460e+004,2.327460e+004,,8.141180e+002,1.861968e+004,1.861968e+004,1.861968e+004
6.726620e+002,2.276720e+004,2.276720e+004,2.276720e+004,,8.140180e+002,1.821376e+004,1.821376e+004,1.821376e+004
6.727620e+002,2.305500e+004,2.305500e+004,2.305500e+004,,8.139180e+002,1.844400e+004,1.844400e+004,1.844400e+004
6.728620e+002,2.286520e+004,2.286520e+004,2.286520e+004,,8.138180e+002,1.829216e+004,1.829216e+004,1.829216e+004
6.729620e+002,2.287370e+004,2.287370e+004,2.287370e+004,,8.137180e+002,1.829896e+004,1.829896e+004,1.829896e+004
6.730620e+002,2.286570e+004,2.286570e+004,2.286570e+004,,8.136180e+002,1.829256e+004,1.829256e+004,1.829256e+004
6.731620e+002,2.252790e+004,2.252790e+004,2.252790e+004,,8.135180e+002,1.802232e+004,1.802232e+004,1.802232e+004
6.732620e+002,2.279680e+004,2.279680e+004,2.279680e+004,,8.134180e+002,1.823744e+004,1.823744e+004,1.823744e+004
6.733620e+002,2.290240e+004,2.290240e+004,2.290240e+004,,8.133180e+002,1.832192e+004,1.832192e+004,1.832192e+004
6.734620e+002,2.297350e+004,2.297350e+004,2.297350e+004,,8.132180e+002,1.837880e+004,1.837880e+004,1.837880e+004
6.735620e+002,2.263330e+004,2.263330e+004,2.263330e+004,,8.131180e+002,1.810664e+004,1.810664e+004,1.810664e+004
6.736620e+002,2.270790e+004,2.270790e+004,2.270790e+004,,8.130180e+002,1.816632e+004,1.816632e+004,1.816632e+004
6.737620e+002,2.270200e+004,2.270200e+004,2.270200e+004,,8.129180e+002,1.816160e+004,1.816160e+004,1.816160e+004
6.738620e+002,2.268640e+004,2.268640e+004,2.268640e+004,,8.128180e+002,1.814912e+004,1.814912e+004,1.814912e+004
6.739620e+002,2.267040e+004,2.267040e+004,2.267040e+004,,8.127180e+002,1.813632e+004,1.813632e+004,1.813632e+004
6.740620e+002,2.310630e+004,2.310630e+004,2.310630e+004,,8.126180e+002,1.848504e+004,1.848504e+004,1.848504e+004
6.741620e+002,2.300380e+004,2.300380e+004,2.300380e+004,,8.125180e+002,1.840304e+004,1.840304e+004,1.840304e+004
6.742620e+002,2.280620e+004,2.280620e+004,2.280620e+004,,8.124180e+002,1.824496e+004,1.824496e+004,1.824496e+004
6.743620e+002,2.263570e+004,2.263570e+004,2.263570e+004,,8.123180e+002,1.810856e+004,1.810856e+004,1.810856e+004
6.744620e+002,2.265170e+004,2.265170e+004,2.265170e+004,,8.122180e+002,1.812136e+004,1.812136e+004,1.812136e+004
6.745620e+002,2.278050e+004,2.278050e+004,2.278050e+004,,8.121180e+002,1.822440e+004,1.822440e+004,1.822440e+004
6.746620e+002,2.273850e+004,2.273850e+004,2.273850e+004,,8.120180e+002,1.819080e+004,1.819080e+004,1.819080e+004
6.747620e+002,2.265260e+004,2.265260e+004,2.265260e+004,,8.119180e+002,1.812208e+004,1.812208e+004,1.812208e+004
6.748620e+002,2.298230e+004,2.298230e+004,2.298230e+004,,8.118180e+002,1.838584e+004,1.838584e+004,1.838584e+004
6.749620e+002,2.272090e+004,2.272090e+004,2.272090e+004,,8.117180e+002,1.817672e+004,1.817672e+004,1.817672e+004
6.750620e+002,2.292310e+004,2.292310e+004,2.292310e+004,,8.116180e+002,1.833848e+004,1.833848e+004,1.833848e+004
6.751620e+002,2.261250e+004,2.261250e+004,2.261250e+004,,8.115180e+002,1.809000e+004,1.809000e+004,1.809000e+004
6.752620e+002,2.276840e+004,2.276840e+004,2.276840e+004,,8.114180e+002,1.821472e+004,1.821472e+004,1.821472e+004
6.753620e+002,2.263900e+004,2.263900e+004,2.263900e+004,,8.113180e+002,1.811120e+004,1.811120e+004,1.811120e+004
6.754620e+002,2.281220e+004,2.281220e+004,2.281220e+004,,8.112180e+002,1.824976e+004,1.824976e+004,1.824976e+004
6.755620e+002,2.261410e+004,2.261410e+004,2.261410e+004,,8.111180e+002,1.809128e+004,1.809128e+004,1.809128e+004
6.756620e+002,2.252590e+004,2.252590e+004,2.252590e+004,,8.110180e+002,1.802072e+004,1.802072e+004,1.802072e+004
6.757620e+002,2.271020e+004,2.271020e+004,2.271020e+004,,8.109180e+002,1.816816e+004,1.816816e+004,1.816816e+004
6.758620e+002,2.269050e+004,2.269050e+004,2.269050e+004,,8.108180e+002,1.815240e+004,1.815240e+004,1.815240e+004
6.759620e+002,2.259790e+004,2.259790e+004,2.259790e+004,,8.107180e+002,1.807832e+004,1.807832e+004,1.807832e+004
6.760620e+002,2.254420e+004,2.254420e+004,2.254420e+004,,8.106180e+002,1.803536e+004,1.803536e+004,1.803536e+004
6.761620e+002,2.251250e+004,2.251250e+004,2.251250e+004,,8.105180e+002,1.801000e+004,1.801000e+004,1.801000e+004
6.762620e+002,2.260170e+004,2.260170e+004,2.260170e+004,,8.104180e+002,1.808136e+004,1.808136e+004,1.808136e+004
6.763620e+002,2.249040e+004,2.249040e+004,2.249040e+004,,8.103180e+002,1.799232e+004,1.799232e+004,1.799232e+004
6.764620e+002,2.229890e+004,2.229890e+004,2.229890e+004,,8.102180e+002,1.783912e+004,1.783912e+004,1.783912e+004
6.765620e+002,2.230400e+004,2.230400e+004,2.230400e+004,,8.101180e+002,1.784320e+004,1.784320e+004,1.784320e+004
6.766620e+002,2.256920e+004,2.256920e+004,2.256920e+004,,8.100180e+002,1.805536e+004,1.805536e+004,1.805536e+004
6.767620e+002,2.263790e+004,2.263790e+004,2.263790e+004,,8.099180e+002,1.811032e+004,1.811032e+004,1.811032e+004
