"Cycle 1:CoEchem1:S2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.000000e+000
Name,,"S 2p","S 2p",
Position,,"168.33","169.51",
FWHM,,"2.64","2.64",
Area,,"267.86","133.93",
Lineshape,,"LA(50)","LA(50)",
K.E.,Counts,"S 2p","S 2p",Background,Envelope,,B.E.,CPS,"S 2p","S 2p",Background CPS,Envelope CPS
1.311724e+003,7.774390e+002,7.779532e+002,7.778354e+002,7.774390e+002,7.783495e+002,,1.749560e+002,7.774390e+002,7.779532e+002,7.778354e+002,7.774390e+002,7.783495e+002
1.311824e+003,6.897550e+002,6.902862e+002,6.901679e+002,6.897550e+002,6.906991e+002,,1.748560e+002,6.897550e+002,6.902862e+002,6.901679e+002,6.897550e+002,6.906991e+002
1.311924e+003,7.591060e+002,7.596542e+002,7.595396e+002,7.591060e+002,7.600879e+002,,1.747560e+002,7.591060e+002,7.596542e+002,7.595396e+002,7.591060e+002,7.600879e+002
1.312024e+003,7.129330e+002,7.134996e+002,7.133874e+002,7.129330e+002,7.139540e+002,,1.746560e+002,7.129330e+002,7.134996e+002,7.133874e+002,7.129330e+002,7.139540e+002
1.312124e+003,7.288070e+002,7.293957e+002,7.292821e+002,7.288070e+002,7.298708e+002,,1.745560e+002,7.288070e+002,7.293957e+002,7.292821e+002,7.288070e+002,7.298708e+002
1.312224e+003,7.194810e+002,7.200918e+002,7.199769e+002,7.194810e+002,7.205877e+002,,1.744560e+002,7.194810e+002,7.200918e+002,7.199769e+002,7.194810e+002,7.205877e+002
1.312324e+003,7.186870e+002,7.193200e+002,7.192079e+002,7.186870e+002,7.198408e+002,,1.743560e+002,7.186870e+002,7.193200e+002,7.192079e+002,7.186870e+002,7.198408e+002
1.312424e+003,7.293910e+002,7.300461e+002,7.299431e+002,7.293910e+002,7.305982e+002,,1.742560e+002,7.293910e+002,7.300461e+002,7.299431e+002,7.293910e+002,7.305982e+002
1.312524e+003,7.576100e+002,7.582900e+002,7.581933e+002,7.576100e+002,7.588734e+002,,1.741560e+002,7.576100e+002,7.582900e+002,7.581933e+002,7.576100e+002,7.588734e+002
1.312624e+003,7.909800e+002,7.916897e+002,7.915946e+002,7.909800e+002,7.923043e+002,,1.740560e+002,7.909800e+002,7.916897e+002,7.915946e+002,7.909800e+002,7.923043e+002
1.312724e+003,7.369090e+002,7.371522e+002,7.370587e+002,7.364129e+002,7.377981e+002,,1.739560e+002,7.369090e+002,7.371522e+002,7.370587e+002,7.364129e+002,7.377981e+002
1.312824e+003,6.966310e+002,7.372890e+002,7.372085e+002,7.365200e+002,7.379775e+002,,1.738560e+002,6.966310e+002,7.372890e+002,7.372085e+002,7.365200e+002,7.379775e+002
1.312924e+003,7.315450e+002,7.373321e+002,7.372753e+002,7.365334e+002,7.380740e+002,,1.737560e+002,7.315450e+002,7.373321e+002,7.372753e+002,7.365334e+002,7.380740e+002
1.313024e+003,7.118150e+002,7.374341e+002,7.373953e+002,7.366000e+002,7.382294e+002,,1.736560e+002,7.118150e+002,7.374341e+002,7.373953e+002,7.366000e+002,7.382294e+002
1.313124e+003,6.964420e+002,7.375837e+002,7.375569e+002,7.367081e+002,7.384325e+002,,1.735560e+002,6.964420e+002,7.375837e+002,7.375569e+002,7.367081e+002,7.384325e+002
1.313224e+003,7.020820e+002,7.377184e+002,7.377036e+002,7.368013e+002,7.386207e+002,,1.734560e+002,7.020820e+002,7.377184e+002,7.377036e+002,7.368013e+002,7.386207e+002
1.313324e+003,6.990890e+002,7.378615e+002,7.378912e+002,7.369029e+002,7.388498e+002,,1.733560e+002,6.990890e+002,7.378615e+002,7.378912e+002,7.369029e+002,7.388498e+002
1.313424e+003,7.427450e+002,7.379186e+002,7.380121e+002,7.369185e+002,7.390122e+002,,1.732560e+002,7.427450e+002,7.379186e+002,7.380121e+002,7.369185e+002,7.390122e+002
