"Cycle 1:CoEchem1:F1s Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.000000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
7.907240e+002,9.351400e+003,9.351400e+003,9.351400e+003,,6.959560e+002,9.351400e+003,9.351400e+003,9.351400e+003
7.908240e+002,9.457120e+003,9.457120e+003,9.457120e+003,,6.958560e+002,9.457120e+003,9.457120e+003,9.457120e+003
7.909240e+002,9.696720e+003,9.696720e+003,9.696720e+003,,6.957560e+002,9.696720e+003,9.696720e+003,9.696720e+003
7.910240e+002,9.484260e+003,9.484260e+003,9.484260e+003,,6.956560e+002,9.484260e+003,9.484260e+003,9.484260e+003
7.911240e+002,9.519550e+003,9.519550e+003,9.519550e+003,,6.955560e+002,9.519550e+003,9.519550e+003,9.519550e+003
7.912240e+002,9.663680e+003,9.663680e+003,9.663680e+003,,6.954560e+002,9.663680e+003,9.663680e+003,9.663680e+003
7.913240e+002,9.486220e+003,9.486220e+003,9.486220e+003,,6.953560e+002,9.486220e+003,9.486220e+003,9.486220e+003
7.914240e+002,9.486370e+003,9.486370e+003,9.486370e+003,,6.952560e+002,9.486370e+003,9.486370e+003,9.486370e+003
7.915240e+002,9.554680e+003,9.554680e+003,9.554680e+003,,6.951560e+002,9.554680e+003,9.554680e+003,9.554680e+003
7.916240e+002,9.616390e+003,9.616390e+003,9.616390e+003,,6.950560e+002,9.616390e+003,9.616390e+003,9.616390e+003
7.917240e+002,9.523250e+003,9.523250e+003,9.523250e+003,,6.949560e+002,9.523250e+003,9.523250e+003,9.523250e+003
7.918240e+002,9.596660e+003,9.596660e+003,9.596660e+003,,6.948560e+002,9.596660e+003,9.596660e+003,9.596660e+003
7.919240e+002,9.695930e+003,9.695930e+003,9.695930e+003,,6.947560e+002,9.695930e+003,9.695930e+003,9.695930e+003
7.920240e+002,9.466300e+003,9.466300e+003,9.466300e+003,,6.946560e+002,9.466300e+003,9.466300e+003,9.466300e+003
7.921240e+002,9.498410e+003,9.498410e+003,9.498410e+003,,6.945560e+002,9.498410e+003,9.498410e+003,9.498410e+003
7.922240e+002,9.595210e+003,9.498278e+003,9.498278e+003,,6.944560e+002,9.595210e+003,9.498278e+003,9.498278e+003
7.923240e+002,9.810370e+003,9.497851e+003,9.497851e+003,,6.943560e+002,9.810370e+003,9.497851e+003,9.497851e+003
7.924240e+002,9.683780e+003,9.497596e+003,9.497596e+003,,6.942560e+002,9.683780e+003,9.497596e+003,9.497596e+003
7.925240e+002,9.655040e+003,9.497381e+003,9.497381e+003,,6.941560e+002,9.655040e+003,9.497381e+003,9.497381e+003
7.926240e+002,9.592070e+003,9.497251e+003,9.497251e+003,,6.940560e+002,9.592070e+003,9.497251e+003,9.497251e+003
7.927240e+002,9.781290e+003,9.496863e+003,9.496863e+003,,6.939560e+002,9.781290e+003,9.496863e+003,9.496863e+003
7.928240e+002,9.483070e+003,9.496844e+003,9.496844e+003,,6.938560e+002,9.483070e+003,9.496844e+003,9.496844e+003
7.929240e+002,9.639810e+003,9.496648e+003,9.496648e+003,,6.937560e+002,9.639810e+003,9.496648e+003,9.496648e+003
7.930240e+002,9.497480e+003,9.496647e+003,9.496647e+003,,6.936560e+002,9.497480e+003,9.496647e+003,9.496647e+003
7.931240e+002,9.694290e+003,9.496377e+003,9.496377e+003,,6.935560e+002,9.694290e+003,9.496377e+003,9.496377e+003
7.932240e+002,9.695140e+003,9.496105e+003,9.496105e+003,,6.934560e+002,9.695140e+003,9.496105e+003,9.496105e+003
7.933240e+002,9.624700e+003,9.495929e+003,9.495929e+003,,6.933560e+002,9.624700e+003,9.495929e+003,9.495929e+003
7.934240e+002,9.479720e+003,9.495907e+003,9.495907e+003,,6.932560e+002,9.479720e+003,9.495907e+003,9.495907e+003
7.935240e+002,9.574980e+003,9.495798e+003,9.495798e+003,,6.931560e+002,9.574980e+003,9.495798e+003,9.495798e+003
7.936240e+002,9.764850e+003,9.495430e+003,9.495430e+003,,6.930560e+002,9.764850e+003,9.495430e+003,9.495430e+003
7.937240e+002,9.772550e+003,9.495051e+003,9.495051e+003,,6.929560e+002,9.772550e+003,9.495051e+003,9.495051e+003
7.938240e+002,9.770370e+003,9.494675e+003,9.494675e+003,,6.928560e+002,9.770370e+003,9.494675e+003,9.494675e+003
7.939240e+002,9.668450e+003,9.494437e+003,9.494437e+003,,6.927560e+002,9.668450e+003,9.494437e+003,9.494437e+003
7.940240e+002,9.691140e+003,9.494168e+003,9.494168e+003,,6.926560e+002,9.691140e+003,9.494168e+003,9.494168e+003
7.941240e+002,9.712770e+003,9.493869e+003,9.493869e+003,,6.925560e+002,9.712770e+003,9.493869e+003,9.493869e+003
7.942240e+002,9.669100e+003,9.493629e+003,9.493629e+003,,6.924560e+002,9.669100e+003,9.493629e+003,9.493629e+003
7.943240e+002,9.638030e+003,9.493431e+003,9.493431e+003,,6.923560e+002,9.638030e+003,9.493431e+003,9.493431e+003
7.944240e+002,9.655390e+003,9.493210e+003,9.493210e+003,,6.922560e+002,9.655390e+003,9.493210e+003,9.493210e+003
7.945240e+002,9.791550e+003,9.492802e+003,9.492802e+003,,6.921560e+002,9.791550e+003,9.492802e+003,9.492802e+003
7.946240e+002,9.694670e+003,9.492525e+003,9.492525e+003,,6.920560e+002,9.694670e+003,9.492525e+003,9.492525e+003
7.947240e+002,9.616850e+003,9.492355e+003,9.492355e+003,,6.919560e+002,9.616850e+003,9.492355e+003,9.492355e+003
7.948240e+002,9.742370e+003,9.492013e+003,9.492013e+003,,6.918560e+002,9.742370e+003,9.492013e+003,9.492013e+003
7.949240e+002,9.743840e+003,9.491669e+003,9.491669e+003,,6.917560e+002,9.743840e+003,9.491669e+003,9.491669e+003
7.950240e+002,9.621740e+003,9.491491e+003,9.491491e+003,,6.916560e+002,9.621740e+003,9.491491e+003,9.491491e+003
7.951240e+002,9.548500e+003,9.491413e+003,9.491413e+003,,6.915560e+002,9.548500e+003,9.491413e+003,9.491413e+003
7.952240e+002,9.724810e+003,9.491093e+003,9.491093e+003,,6.914560e+002,9.724810e+003,9.491093e+003,9.491093e+003
7.953240e+002,9.825300e+003,9.490636e+003,9.490636e+003,,6.913560e+002,9.825300e+003,9.490636e+003,9.490636e+003
7.954240e+002,9.896860e+003,9.490080e+003,9.490080e+003,,6.912560e+002,9.896860e+003,9.490080e+003,9.490080e+003
7.955240e+002,9.812620e+003,9.489639e+003,9.489639e+003,,6.911560e+002,9.812620e+003,9.489639e+003,9.489639e+003
7.956240e+002,9.818690e+003,9.489189e+003,9.489189e+003,,6.910560e+002,9.818690e+003,9.489189e+003,9.489189e+003
7.957240e+002,9.999420e+003,9.488491e+003,9.488491e+003,,6.909560e+002,9.999420e+003,9.488491e+003,9.488491e+003
