"Cycle 1:CoEchem1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.56","782.07","786.19","796.93","802.59",
FWHM,,"3.36","3.36","6.00","3.53","5.19",
Area,,"10393.60","7912.32","12828.12","7306.91","6166.48",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.707240e+002,2.780270e+004,2.780435e+004,2.780407e+004,2.780791e+004,2.780696e+004,2.781404e+004,2.780270e+004,2.782653e+004,,8.159560e+002,1.390135e+004,1.390217e+004,1.390204e+004,1.390395e+004,1.390348e+004,1.390702e+004,1.390135e+004,1.391326e+004
6.708240e+002,2.776720e+004,2.776886e+004,2.776858e+004,2.777244e+004,2.777151e+004,2.777874e+004,2.776720e+004,2.779133e+004,,8.158560e+002,1.388360e+004,1.388443e+004,1.388429e+004,1.388622e+004,1.388575e+004,1.388937e+004,1.388360e+004,1.389567e+004
6.709240e+002,2.766720e+004,2.766887e+004,2.766859e+004,2.767248e+004,2.767156e+004,2.767895e+004,2.766720e+004,2.769164e+004,,8.157560e+002,1.383360e+004,1.383443e+004,1.383429e+004,1.383624e+004,1.383578e+004,1.383947e+004,1.383360e+004,1.384582e+004
6.710240e+002,2.759230e+004,2.759398e+004,2.759369e+004,2.759762e+004,2.759671e+004,2.760425e+004,2.759230e+004,2.761705e+004,,8.156560e+002,1.379615e+004,1.379699e+004,1.379685e+004,1.379881e+004,1.379835e+004,1.380213e+004,1.379615e+004,1.380852e+004
6.711240e+002,2.757000e+004,2.757169e+004,2.757140e+004,2.757536e+004,2.757445e+004,2.758215e+004,2.757000e+004,2.759505e+004,,8.155560e+002,1.378500e+004,1.378584e+004,1.378570e+004,1.378768e+004,1.378723e+004,1.379108e+004,1.378500e+004,1.379753e+004
6.712240e+002,2.766910e+004,2.767080e+004,2.767051e+004,2.767449e+004,2.767360e+004,2.768146e+004,2.766910e+004,2.769446e+004,,8.154560e+002,1.383455e+004,1.383540e+004,1.383526e+004,1.383725e+004,1.383680e+004,1.384073e+004,1.383455e+004,1.384723e+004
6.713240e+002,2.754690e+004,2.754861e+004,2.754832e+004,2.755233e+004,2.755145e+004,2.755946e+004,2.754690e+004,2.757257e+004,,8.153560e+002,1.377345e+004,1.377430e+004,1.377416e+004,1.377616e+004,1.377573e+004,1.377973e+004,1.377345e+004,1.378628e+004
6.714240e+002,2.786200e+004,2.786372e+004,2.786343e+004,2.786747e+004,2.786660e+004,2.787476e+004,2.786200e+004,2.788797e+004,,8.152560e+002,1.393100e+004,1.393186e+004,1.393171e+004,1.393373e+004,1.393330e+004,1.393738e+004,1.393100e+004,1.394399e+004
6.715240e+002,2.762540e+004,2.762713e+004,2.762684e+004,2.763090e+004,2.763005e+004,2.763837e+004,2.762540e+004,2.765169e+004,,8.151560e+002,1.381270e+004,1.381356e+004,1.381342e+004,1.381545e+004,1.381503e+004,1.381918e+004,1.381270e+004,1.382584e+004
6.716240e+002,2.739040e+004,2.739214e+004,2.739185e+004,2.739594e+004,2.739511e+004,2.740358e+004,2.739040e+004,2.741701e+004,,8.150560e+002,1.369520e+004,1.369607e+004,1.369592e+004,1.369797e+004,1.369755e+004,1.370179e+004,1.369520e+004,1.370850e+004
