"Cycle 1:CoOTf1:S2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,5.000000e-001
Name,,"S 2p","S 2p",
Position,,"168.27","169.45",
FWHM,,"1.92","1.92",
Area,,"4559.66","2279.83",
Lineshape,,"LA(50)","LA(50)",
K.E.,Counts,"S 2p","S 2p",Background,Envelope,,B.E.,CPS,"S 2p","S 2p",Background CPS,Envelope CPS
1.312062e+003,1.151680e+003,1.155008e+003,1.154257e+003,1.151680e+003,1.157585e+003,,1.746180e+002,2.303360e+003,2.310016e+003,2.308513e+003,2.303360e+003,2.315169e+003
1.312162e+003,1.134470e+003,1.137916e+003,1.137156e+003,1.134470e+003,1.140602e+003,,1.745180e+002,2.268940e+003,2.275832e+003,2.274311e+003,2.268940e+003,2.281204e+003
1.312262e+003,1.147420e+003,1.150985e+003,1.150214e+003,1.147420e+003,1.153779e+003,,1.744180e+002,2.294840e+003,2.301969e+003,2.300429e+003,2.294840e+003,2.307558e+003
1.312362e+003,1.126130e+003,1.129813e+003,1.129059e+003,1.126130e+003,1.132742e+003,,1.743180e+002,2.252260e+003,2.259626e+003,2.258119e+003,2.252260e+003,2.265484e+003
1.312462e+003,1.151580e+003,1.155399e+003,1.154647e+003,1.151580e+003,1.158466e+003,,1.742180e+002,2.303160e+003,2.310797e+003,2.309295e+003,2.303160e+003,2.316932e+003
1.312562e+003,1.162860e+003,1.166821e+003,1.166066e+003,1.162860e+003,1.170027e+003,,1.741180e+002,2.325720e+003,2.333643e+003,2.332131e+003,2.325720e+003,2.340054e+003
1.312662e+003,1.150620e+003,1.154724e+003,1.153978e+003,1.150620e+003,1.158083e+003,,1.740180e+002,2.301240e+003,2.309449e+003,2.307956e+003,2.301240e+003,2.316165e+003
1.312762e+003,1.147760e+003,1.145316e+003,1.144602e+003,1.141064e+003,1.148854e+003,,1.739180e+002,2.295520e+003,2.290633e+003,2.289203e+003,2.282128e+003,2.297708e+003
1.312862e+003,1.127410e+003,1.145476e+003,1.144766e+003,1.141048e+003,1.149193e+003,,1.738180e+002,2.254820e+003,2.290952e+003,2.289531e+003,2.282097e+003,2.298386e+003
1.312962e+003,1.136400e+003,1.145646e+003,1.144940e+003,1.141043e+003,1.149542e+003,,1.737180e+002,2.272800e+003,2.291291e+003,2.289880e+003,2.282086e+003,2.299085e+003
1.313062e+003,1.110870e+003,1.145786e+003,1.145135e+003,1.141009e+003,1.149912e+003,,1.736180e+002,2.221740e+003,2.291573e+003,2.290269e+003,2.282018e+003,2.299824e+003
1.313162e+003,1.126530e+003,1.145972e+003,1.145359e+003,1.140992e+003,1.150338e+003,,1.735180e+002,2.253060e+003,2.291943e+003,2.290718e+003,2.281985e+003,2.300676e+003
1.313262e+003,1.147200e+003,1.146182e+003,1.145592e+003,1.140985e+003,1.150789e+003,,1.734180e+002,2.294400e+003,2.292365e+003,2.291185e+003,2.281971e+003,2.301579e+003
1.313362e+003,1.115090e+003,1.146371e+003,1.145830e+003,1.140956e+003,1.151245e+003,,1.733180e+002,2.230180e+003,2.292741e+003,2.291660e+003,2.281912e+003,2.302489e+003
1.313462e+003,1.154670e+003,1.146578e+003,1.146151e+003,1.140940e+003,1.151789e+003,,1.732180e+002,2.309340e+003,2.293156e+003,2.292302e+003,2.281881e+003,2.303577e+003
1.313562e+003,1.091350e+003,1.146798e+003,1.146431e+003,1.140884e+003,1.152345e+003,,1.731180e+002,2.182700e+003,2.293596e+003,2.292863e+003,2.281768e+003,2.304691e+003
1.313662e+003,1.100360e+003,1.147028e+003,1.146722e+003,1.140838e+003,1.152912e+003,,1.730180e+002,2.200720e+003,2.294057e+003,2.293444e+003,2.281676e+003,2.305825e+003
1.313762e+003,1.150520e+003,1.147294e+003,1.147173e+003,1.140827e+003,1.153639e+003,,1.729180e+002,2.301040e+003,2.294587e+003,2.294346e+003,2.281654e+003,2.307278e+003
1.313862e+003,1.154960e+003,1.147599e+003,1.147664e+003,1.140811e+003,1.154452e+003,,1.728180e+002,2.309920e+003,2.295199e+003,2.295327e+003,2.281622e+003,2.308904e+003
1.313962e+003,1.131260e+003,1.147947e+003,1.148160e+003,1.140800e+003,1.155307e+003,,1.727180e+002,2.262520e+003,2.295895e+003,2.296319e+003,2.281600e+003,2.310614e+003
1.314062e+003,1.164180e+003,1.148280e+003,1.148710e+003,1.140774e+003,1.156217e+003,,1.726180e+002,2.328360e+003,2.296560e+003,2.297420e+003,2.281547e+003,2.312433e+003
1.314162e+003,1.188030e+003,1.148587e+003,1.149524e+003,1.140720e+003,1.157390e+003,,1.725180e+002,2.376060e+003,2.297173e+003,2.299047e+003,2.281440e+003,2.314781e+003
1.314262e+003,1.170640e+003,1.149034e+003,1.150357e+003,1.140686e+003,1.158705e+003,,1.724180e+002,2.341280e+003,2.298068e+003,2.300713e+003,2.281372e+003,2.317409e+003
1.314362e+003,1.216110e+003,1.149429e+003,1.151138e+003,1.140600e+003,1.159967e+003,,1.723180e+002,2.432220e+003,2.298859e+003,2.302276e+003,2.281200e+003,2.319934e+003
1.314462e+003,1.141710e+003,1.149909e+003,1.152556e+003,1.140599e+003,1.161866e+003,,1.722180e+002,2.283420e+003,2.299819e+003,2.305111e+003,2.281198e+003,2.323732e+003
1.314562e+003,1.134270e+003,1.150474e+003,1.154256e+003,1.140592e+003,1.164139e+003,,1.721180e+002,2.268540e+003,2.300949e+003,2.308512e+003,2.281183e+003,2.328277e+003
1.314662e+003,1.199330e+003,1.151081e+003,1.155444e+003,1.140525e+003,1.166000e+003,,1.720180e+002,2.398660e+003,2.302162e+003,2.310887e+003,2.281050e+003,2.332000e+003
1.314762e+003,1.187160e+003,1.151701e+003,1.157643e+003,1.140472e+003,1.168873e+003,,1.719180e+002,2.374320e+003,2.303403e+003,2.315287e+003,2.280944e+003,2.337745e+003
1.314862e+003,1.194760e+003,1.152313e+003,1.160411e+003,1.140410e+003,1.172313e+003,,1.718180e+002,2.389520e+003,2.304626e+003,2.320821e+003,2.280820e+003,2.344627e+003
1.314962e+003,1.118920e+003,1.153280e+003,1.163956e+003,1.140386e+003,1.176850e+003,,1.717180e+002,2.237840e+003,2.306560e+003,2.327912e+003,2.280772e+003,2.353700e+003
1.315062e+003,1.187140e+003,1.154240e+003,1.168416e+003,1.140333e+003,1.182324e+003,,1.716180e+002,2.374280e+003,2.308481e+003,2.336833e+003,2.280665e+003,2.364648e+003
1.315162e+003,1.120500e+003,1.155231e+003,1.174092e+003,1.140310e+003,1.189013e+003,,1.715180e+002,2.241000e+003,2.310463e+003,2.348184e+003,2.280620e+003,2.378027e+003
1.315262e+003,1.157620e+003,1.156510e+003,1.181235e+003,1.140290e+003,1.197455e+003,,1.714180e+002,2.315240e+003,2.313021e+003,2.362470e+003,2.280581e+003,2.394911e+003
1.315362e+003,1.218860e+003,1.158155e+003,1.190092e+003,1.140201e+003,1.208046e+003,,1.713180e+002,2.437720e+003,2.316310e+003,2.380184e+003,2.280402e+003,2.416092e+003
1.315462e+003,1.201690e+003,1.159819e+003,1.201094e+003,1.140131e+003,1.220782e+003,,1.712180e+002,2.403380e+003,2.319639e+003,2.402188e+003,2.280262e+003,2.441565e+003
1.315562e+003,1.216790e+003,1.161466e+003,1.214554e+003,1.140044e+003,1.235976e+003,,1.711180e+002,2.433580e+003,2.322932e+003,2.429108e+003,2.280088e+003,2.471952e+003
1.315662e+003,1.222130e+003,1.164547e+003,1.230822e+003,1.139951e+003,1.255419e+003,,1.710180e+002,2.444260e+003,2.329095e+003,2.461644e+003,2.279901e+003,2.510837e+003
1.315762e+003,1.299680e+003,1.166656e+003,1.250115e+003,1.139769e+003,1.277002e+003,,1.709180e+002,2.599360e+003,2.333311e+003,2.500230e+003,2.279538e+003,2.554003e+003
1.315862e+003,1.254850e+003,1.170299e+003,1.272781e+003,1.139638e+003,1.303442e+003,,1.708180e+002,2.509700e+003,2.340597e+003,2.545562e+003,2.279276e+003,2.606883e+003
1.315962e+003,1.295070e+003,1.174834e+003,1.298818e+003,1.139461e+003,1.334191e+003,,1.707180e+002,2.590140e+003,2.349668e+003,2.597636e+003,2.278923e+003,2.668381e+003
1.316062e+003,1.337350e+003,1.180534e+003,1.328164e+003,1.139236e+003,1.369462e+003,,1.706180e+002,2.674700e+003,2.361069e+003,2.656328e+003,2.278473e+003,2.738924e+003
1.316162e+003,1.389940e+003,1.187732e+003,1.360537e+003,1.138951e+003,1.409318e+003,,1.705180e+002,2.779880e+003,2.375465e+003,2.721075e+003,2.277903e+003,2.818637e+003
1.316262e+003,1.418140e+003,1.196875e+003,1.395478e+003,1.138634e+003,1.453719e+003,,1.704180e+002,2.836280e+003,2.393749e+003,2.790956e+003,2.277268e+003,2.907438e+003
1.316362e+003,1.490590e+003,1.208408e+003,1.432213e+003,1.138234e+003,1.502387e+003,,1.703180e+002,2.981180e+003,2.416816e+003,2.864426e+003,2.276467e+003,3.004775e+003
1.316462e+003,1.585410e+003,1.222886e+003,1.469758e+003,1.137725e+003,1.554919e+003,,1.702180e+002,3.170820e+003,2.445773e+003,2.939516e+003,2.275450e+003,3.109838e+003
1.316562e+003,1.614020e+003,1.241033e+003,1.507028e+003,1.137184e+003,1.610878e+003,,1.701180e+002,3.228040e+003,2.482067e+003,3.014057e+003,2.274367e+003,3.221756e+003
1.316662e+003,1.681630e+003,1.263490e+003,1.542667e+003,1.136565e+003,1.669593e+003,,1.700180e+002,3.363260e+003,2.526980e+003,3.085335e+003,2.273129e+003,3.339186e+003
1.316762e+003,1.798060e+003,1.290903e+003,1.575223e+003,1.135812e+003,1.730313e+003,,1.699180e+002,3.596120e+003,2.581806e+003,3.150446e+003,2.271625e+003,3.460627e+003
1.316862e+003,1.816460e+003,1.324060e+003,1.603426e+003,1.135038e+003,1.792448e+003,,1.698180e+002,3.632920e+003,2.648120e+003,3.206853e+003,2.270077e+003,3.584896e+003
1.316962e+003,1.879530e+003,1.363461e+003,1.625948e+003,1.134192e+003,1.855217e+003,,1.697180e+002,3.759060e+003,2.726922e+003,3.251896e+003,2.268384e+003,3.710434e+003
1.317062e+003,1.988140e+003,1.409441e+003,1.641639e+003,1.133221e+003,1.917859e+003,,1.696180e+002,3.976280e+003,2.818883e+003,3.283277e+003,2.266442e+003,3.835718e+003
1.317162e+003,1.925210e+003,1.462339e+003,1.649913e+003,1.132320e+003,1.979931e+003,,1.695180e+002,3.850420e+003,2.924678e+003,3.299825e+003,2.264641e+003,3.959863e+003
1.317262e+003,2.012310e+003,1.521769e+003,1.650153e+003,1.131320e+003,2.040603e+003,,1.694180e+002,4.024620e+003,3.043539e+003,3.300306e+003,2.262640e+003,4.081205e+003
1.317362e+003,2.111220e+003,1.587102e+003,1.642272e+003,1.130206e+003,2.099169e+003,,1.693180e+002,4.222440e+003,3.174205e+003,3.284544e+003,2.260411e+003,4.198338e+003
1.317462e+003,2.087500e+003,1.657414e+003,1.626748e+003,1.129117e+003,2.155045e+003,,1.692180e+002,4.175000e+003,3.314828e+003,3.253497e+003,2.258234e+003,4.310091e+003
1.317562e+003,2.190660e+003,1.731013e+003,1.604137e+003,1.127910e+003,2.207239e+003,,1.691180e+002,4.381320e+003,3.462025e+003,3.208273e+003,2.255820e+003,4.414479e+003
1.317662e+003,2.185480e+003,1.806017e+003,1.575555e+003,1.126707e+003,2.254865e+003,,1.690180e+002,4.370960e+003,3.612034e+003,3.151111e+003,2.253415e+003,4.509730e+003
1.317762e+003,2.273890e+003,1.879934e+003,1.542127e+003,1.125403e+003,2.296657e+003,,1.689180e+002,4.547780e+003,3.759867e+003,3.084254e+003,2.250806e+003,4.593315e+003
1.317862e+003,2.332050e+003,1.950119e+003,1.505255e+003,1.124031e+003,2.331343e+003,,1.688180e+002,4.664100e+003,3.900238e+003,3.010510e+003,2.248062e+003,4.662686e+003
1.317962e+003,2.343490e+003,2.013836e+003,1.466390e+003,1.122644e+003,2.357582e+003,,1.687180e+002,4.686980e+003,4.027672e+003,2.932780e+003,2.245289e+003,4.715164e+003
1.318062e+003,2.411970e+003,2.068281e+003,1.426813e+003,1.121178e+003,2.373916e+003,,1.686180e+002,4.823940e+003,4.136563e+003,2.853626e+003,2.242357e+003,4.747832e+003
1.318162e+003,2.441210e+003,2.110978e+003,1.387783e+003,1.119677e+003,2.379083e+003,,1.685180e+002,4.882420e+003,4.221955e+003,2.775566e+003,2.239355e+003,4.758166e+003
