"Cycle 1:CoOTf1:F1s Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,5.000000e-001
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
7.910620e+002,7.592980e+003,7.592980e+003,7.592980e+003,,6.956180e+002,1.518596e+004,1.518596e+004,1.518596e+004
7.911620e+002,7.681980e+003,7.681980e+003,7.681980e+003,,6.955180e+002,1.536396e+004,1.536396e+004,1.536396e+004
7.912620e+002,7.519850e+003,7.519850e+003,7.519850e+003,,6.954180e+002,1.503970e+004,1.503970e+004,1.503970e+004
7.913620e+002,7.528920e+003,7.528920e+003,7.528920e+003,,6.953180e+002,1.505784e+004,1.505784e+004,1.505784e+004
7.914620e+002,7.664530e+003,7.664530e+003,7.664530e+003,,6.952180e+002,1.532906e+004,1.532906e+004,1.532906e+004
7.915620e+002,7.598810e+003,7.598810e+003,7.598810e+003,,6.951180e+002,1.519762e+004,1.519762e+004,1.519762e+004
7.916620e+002,7.592520e+003,7.592520e+003,7.592520e+003,,6.950180e+002,1.518504e+004,1.518504e+004,1.518504e+004
7.917620e+002,7.694080e+003,7.694080e+003,7.694080e+003,,6.949180e+002,1.538816e+004,1.538816e+004,1.538816e+004
7.918620e+002,7.478530e+003,7.478530e+003,7.478530e+003,,6.948180e+002,1.495706e+004,1.495706e+004,1.495706e+004
7.919620e+002,7.552950e+003,7.552950e+003,7.552950e+003,,6.947180e+002,1.510590e+004,1.510590e+004,1.510590e+004
7.920620e+002,7.657690e+003,7.657690e+003,7.657690e+003,,6.946180e+002,1.531538e+004,1.531538e+004,1.531538e+004
7.921620e+002,7.603070e+003,7.603070e+003,7.603070e+003,,6.945180e+002,1.520614e+004,1.520614e+004,1.520614e+004
7.922620e+002,7.635210e+003,7.635210e+003,7.635210e+003,,6.944180e+002,1.527042e+004,1.527042e+004,1.527042e+004
7.923620e+002,7.486800e+003,7.486800e+003,7.486800e+003,,6.943180e+002,1.497360e+004,1.497360e+004,1.497360e+004
