"Cycle 1:CoOTf1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.41","781.87","786.28","796.79","802.65",
FWHM,,"3.66","3.66","5.74","3.79","4.78",
Area,,"54536.57","40670.65","60855.51","39905.07","31127.76",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.710620e+002,7.014480e+004,7.015433e+004,7.015254e+004,7.016910e+004,7.017041e+004,7.020045e+004,7.014480e+004,7.026764e+004,,8.156180e+002,3.507240e+004,3.507717e+004,3.507627e+004,3.508455e+004,3.508521e+004,3.510023e+004,3.507240e+004,3.513382e+004
6.711620e+002,6.989180e+004,6.990139e+004,6.989959e+004,6.991627e+004,6.991770e+004,6.994841e+004,6.989180e+004,7.001615e+004,,8.155180e+002,3.494590e+004,3.495069e+004,3.494979e+004,3.495814e+004,3.495885e+004,3.497420e+004,3.494590e+004,3.500808e+004
6.712620e+002,6.976920e+004,6.977885e+004,6.977703e+004,6.979384e+004,6.979539e+004,6.982676e+004,6.976920e+004,6.989507e+004,,8.154180e+002,3.488460e+004,3.488942e+004,3.488852e+004,3.489692e+004,3.489769e+004,3.491338e+004,3.488460e+004,3.494754e+004
6.713620e+002,6.967870e+004,6.968840e+004,6.968658e+004,6.970351e+004,6.970518e+004,6.973721e+004,6.967870e+004,6.980609e+004,,8.153180e+002,3.483935e+004,3.484420e+004,3.484329e+004,3.485176e+004,3.485259e+004,3.486861e+004,3.483935e+004,3.490304e+004
6.714620e+002,6.978500e+004,6.979476e+004,6.979293e+004,6.980999e+004,6.981177e+004,6.984447e+004,6.978500e+004,6.991391e+004,,8.152180e+002,3.489250e+004,3.489738e+004,3.489646e+004,3.490499e+004,3.490588e+004,3.492223e+004,3.489250e+004,3.495695e+004
6.715620e+002,7.000860e+004,7.001841e+004,7.001658e+004,7.003376e+004,7.003566e+004,7.006902e+004,7.000860e+004,7.013902e+004,,8.151180e+002,3.500430e+004,3.500921e+004,3.500829e+004,3.501688e+004,3.501783e+004,3.503451e+004,3.500430e+004,3.506951e+004
6.716620e+002,6.955180e+004,6.956167e+004,6.955982e+004,6.957713e+004,6.957914e+004,6.961317e+004,6.955180e+004,6.968374e+004,,8.150180e+002,3.477590e+004,3.478083e+004,3.477991e+004,3.478857e+004,3.478957e+004,3.480659e+004,3.477590e+004,3.484187e+004
6.717620e+002,6.980340e+004,6.981333e+004,6.981147e+004,6.982890e+004,6.983107e+004,6.986598e+004,6.980340e+004,6.993715e+004,,8.149180e+002,3.490170e+004,3.490666e+004,3.490574e+004,3.491445e+004,3.491553e+004,3.493299e+004,3.490170e+004,3.496858e+004
6.718620e+002,7.010640e+004,7.011639e+004,7.011452e+004,7.013209e+004,7.013439e+004,7.017019e+004,7.010640e+004,7.024198e+004,,8.148180e+002,3.505320e+004,3.505819e+004,3.505726e+004,3.506604e+004,3.506720e+004,3.508510e+004,3.505320e+004,3.512099e+004
6.719620e+002,6.959100e+004,6.960104e+004,6.959917e+004,6.961688e+004,6.961932e+004,6.965600e+004,6.959100e+004,6.972842e+004,,8.147180e+002,3.479550e+004,3.480052e+004,3.479959e+004,3.480844e+004,3.480966e+004,3.482800e+004,3.479550e+004,3.486421e+004
